MCC,MNC,Carrier,Index
***,**,GENERIC,0
***,***,GENERIC,0
310,30,ATT,0
310,70,ATT,0
310,90,ATT,0
310,150,ATT,0
310,170,ATT,0
310,280,ATT,0
310,380,ATT,0
310,410,ATT,0
310,560,ATT,0
310,680,ATT,0
310,980,ATT,0
311,180,ATT,0
312,670,ATT,1
313,100,ATT,1
313,110,ATT,1
313,120,ATT,1
313,130,ATT,1
313,140,ATT,1
310,26,TMO,0
310,31,TMO,0
310,160,TMO,0
310,200,TMO,0
310,210,TMO,0
310,220,TMO,0
310,230,TMO,0
310,240,TMO,0
310,250,TMO,0
310,260,TMO,0
310,270,TMO,0
310,310,TMO,0
310,490,TMO,0
310,660,TMO,0
310,800,TMO,0
310,590,VERIZON,0
310,890,VERIZON,0
311,480,VERIZON,0
311,270,VERIZON,0
312,770,VERIZON,0
999,480,VERIZON,1
505,01,TELSTRA,0
440,10,DOCOMO,0
440,20,SBM,0
440,50,KDDI,0
440,51,KDDI,0
310,48,KDDI,0
214,07,Telefonica,0
228,01,Swisscom,0
295,01,Swisscom,0
505,02,Optus,0
234,30,EE,0
234,33,EE,0
234,34,EE,0
234,31,EE,0
234,32,EE,0
235,01,EE,0
235,02,EE,0
262,01,DT,0
262,02,VODAFONE,0
440,11,Rakuten,0
440,53,Rakuten,0
